goal_location,path_length_m,goal_achievement_duration_s,rrt_computation_time_s,task_achieved,failure_reasons,final_heading_error,final_location_error,run_name
corner_1_table,2.847610329385611,17.763,,True,,0.4329079729544496,0.3274432717176375,run_001
corner_2_table,2.8598482621244514,18.083,,True,,0.4657844768236359,0.30251920480133515,run_002
corner_3_table,3.1861960245998877,22.083,,True,,0.4940905784276428,0.2621820069061609,run_003
corner_4_table,3.198180293224359,22.302,,True,,0.4984642222839508,0.2837842518696865,run_004
corner_1_behind_table,4.2780910583850975,27.672,,True,,0.5114443014959722,0.20957406059614456,run_005
corner_2_behind_table,4.301158321005854,27.333,,True,,0.5555817722943361,0.19771003891183403,run_006
corner_3_behind_table,4.630152038322776,30.243,,True,,0.5200754851988605,0.19415399818246692,run_007
corner_4_behind_table,4.8793973854292805,41.253,,True,,0.44697406280298724,0.15975260085379003,run_008
forward,4.221746413328462,22.603,,True,,0.3571136024140806,0.2603775519058097,run_009
backward,4.14921199781454,66.453,,True,,0.35878682219780433,0.25591759917335144,run_010
right,4.258908586249552,19.513,,True,,0.34361379013127547,0.2689482653525438,run_011
